InterferenceTask: Detected JSON RegionTags.
--- G2 Boundary Readout Experiment (Mode: R2Contrastive) ---
Epoch, AvgSleepE, AvgMatchE, AvgMismatchE, Gap_Match, Gap_Mismatch, ReadoutAcc
0, 17978.18, 46104.30, 43847.59, 28126.12, 25869.41, 0.50
1, 17275.51, 43547.38, 42918.26, 26271.87, 25642.75, 0.50
2, 16949.04, 42703.74, 42127.11, 25754.71, 25178.07, 0.50
3, 16654.03, 41943.38, 41410.30, 25289.35, 24756.27, 0.50
4, 16384.99, 41251.41, 40755.18, 24866.42, 24370.19, 0.50
5, 16137.77, 40616.64, 40152.11, 24478.88, 24014.34, 0.50
6, 15909.19, 40030.59, 39593.64, 24121.41, 23684.46, 0.50
7, 15696.70, 39486.53, 39073.85, 23789.83, 23377.15, 0.50
8, 15498.30, 38979.03, 38587.95, 23480.73, 23089.66, 0.50
9, 15312.30, 38503.77, 38132.01, 23191.47, 22819.71, 0.50
10, 15137.33, 38057.04, 37702.68, 22919.71, 22565.35, 0.50
11, 14972.23, 37635.86, 37297.27, 22663.63, 22325.04, 0.50
12, 14816.01, 37237.60, 36913.39, 22421.60, 22097.38, 0.50
13, 14667.83, 36860.07, 36549.01, 22192.25, 21881.18, 0.50
14, 14526.95, 36501.39, 36202.41, 21974.44, 21675.45, 0.50
15, 14392.76, 36159.88, 35872.05, 21767.11, 21479.29, 0.50
16, 14264.69, 35834.11, 35556.61, 21569.42, 21291.92, 0.50
17, 14142.25, 35522.81, 35254.91, 21380.57, 21112.66, 0.50
18, 14025.01, 35224.88, 34965.88, 21199.87, 20940.87, 0.50
19, 13912.58, 34939.29, 34688.63, 21026.71, 20776.05, 0.50
20, 13804.64, 34665.15, 34422.30, 20860.51, 20617.66, 0.50
21, 13700.85, 34401.70, 34166.15, 20700.85, 20465.30, 0.50
22, 13600.95, 34148.19, 33919.50, 20547.24, 20318.55, 0.50
23, 13504.68, 33903.97, 33681.75, 20399.29, 20177.06, 0.50
24, 13411.81, 33668.44, 33452.34, 20256.62, 20040.52, 0.50
25, 13322.14, 33441.09, 33230.73, 20118.95, 19908.59, 0.50
26, 13235.48, 33221.41, 33016.53, 19985.94, 19781.05, 0.50
27, 13151.65, 33008.99, 32809.28, 19857.34, 19657.63, 0.50
28, 13070.50, 32803.40, 32608.61, 19732.90, 19538.10, 0.50
29, 12991.89, 32604.24, 32414.13, 19612.36, 19422.25, 0.50
30, 12915.67, 32411.23, 32225.56, 19495.56, 19309.89, 0.50
31, 12841.72, 32223.99, 32042.57, 19382.27, 19200.85, 0.50
32, 12769.92, 32042.26, 31864.88, 19272.33, 19094.96, 0.50
33, 12700.18, 31865.72, 31692.20, 19165.54, 18992.02, 0.50
34, 12632.38, 31694.15, 31524.33, 19061.77, 18891.95, 0.50
35, 12566.44, 31527.31, 31361.03, 18960.88, 18794.60, 0.50
36, 12502.27, 31364.98, 31202.10, 18862.72, 18699.83, 0.50
37, 12439.79, 31206.95, 31047.33, 18767.16, 18607.54, 0.50
38, 12378.93, 31053.05, 30896.53, 18674.12, 18517.60, 0.50
39, 12319.62, 30903.07, 30749.55, 18583.45, 18429.94, 0.50
40, 12261.78, 30756.84, 30606.21, 18495.06, 18344.43, 0.50
41, 12205.36, 30614.22, 30466.36, 18408.86, 18260.99, 0.50
42, 12150.30, 30475.06, 30329.87, 18324.76, 18179.57, 0.50
43, 12096.55, 30339.21, 30196.59, 18242.66, 18100.04, 0.50
44, 12044.05, 30206.54, 30066.41, 18162.49, 18022.36, 0.50
45, 11992.75, 30076.94, 29939.20, 18084.19, 17946.45, 0.50
46, 11942.61, 29950.26, 29814.82, 18007.65, 17872.21, 0.50
47, 11893.59, 29826.42, 29693.22, 17932.83, 17799.63, 0.50
48, 11845.63, 29705.30, 29574.27, 17859.67, 17728.63, 0.50
49, 11798.72, 29586.80, 29457.85, 17788.08, 17659.13, 0.50
