InterferenceTask: Detected JSON RegionTags.
--- G2 Boundary Readout Experiment (Mode: R2Contrastive) ---
Epoch, AvgSleepE, AvgMatchE, AvgMismatchE, Gap_Match, Gap_Mismatch, ReadoutAcc
0, 154718.80, 273508.25, 500000.00, 118789.45, 345281.19, 0.50
1, 200000.00, 500000.00, 500000.06, 300000.00, 300000.06, 0.50
2, 199999.98, 500000.00, 500000.06, 300000.00, 300000.06, 0.50
3, 200000.02, 500000.00, 500000.06, 300000.00, 300000.06, 0.50
4, 200000.00, 500000.03, 499999.94, 300000.03, 299999.94, 0.50
5, 200000.00, 500000.03, 500000.00, 300000.03, 300000.00, 0.50
6, 200000.03, 499999.97, 500000.00, 299999.94, 299999.97, 0.50
7, 200000.00, 500000.03, 500000.00, 300000.03, 300000.00, 0.50
8, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
9, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
10, 200000.00, 500000.00, 500000.03, 300000.00, 300000.03, 0.50
11, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
12, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
13, 200000.00, 500000.03, 500000.03, 300000.03, 300000.03, 0.50
14, 200000.00, 499999.97, 500000.00, 299999.97, 300000.00, 0.50
15, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
16, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
17, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
18, 200000.00, 500000.00, 499999.97, 300000.00, 299999.97, 0.50
19, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
20, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
21, 200000.00, 500000.00, 500000.03, 300000.00, 300000.03, 0.50
22, 200000.00, 500000.00, 500000.06, 300000.00, 300000.06, 0.50
23, 200000.00, 500000.06, 500000.00, 300000.06, 300000.00, 0.50
24, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
25, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
26, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
27, 200000.00, 499999.97, 500000.00, 299999.97, 300000.00, 0.50
28, 200000.00, 500000.00, 500000.03, 300000.00, 300000.03, 0.50
29, 200000.02, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
30, 200000.00, 500000.00, 500000.00, 300000.00, 300000.00, 0.50
