InterferenceTask: Detected JSON RegionTags.
--- G2 Boundary Readout Experiment (Mode: R2Contrastive) ---
Epoch, AvgSleepE, AvgMatchE, AvgMismatchE, Gap_Match, Gap_Mismatch, ReadoutAcc
0, 16254994.00, 31273424.00, 50000000.00, 15018430.00, 33745008.00, 0.50
1, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
2, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.75
3, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
4, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
5, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
6, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
7, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
8, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
9, 20000000.00, 50000000.00, 49999996.00, 30000000.00, 29999996.00, 0.50
10, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
11, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
12, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
13, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
14, 20000000.00, 50000008.00, 50000000.00, 30000008.00, 30000000.00, 0.50
15, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
16, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
17, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.75
18, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.50
19, 20000000.00, 50000000.00, 50000000.00, 30000000.00, 30000000.00, 0.75
