GPU MatMul Kernel Initialized.
GPU Transformer Kernel Initialized.
InterferenceTask: Detected JSON RegionTags.
--- G2 Boundary Readout Experiment (Mode: R2Contrastive) ---
Epoch, AvgSleepE, AvgMatchE, AvgMismatchE, Gap_Match, Gap_Mismatch, ReadoutAcc
0, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
1, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
2, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
3, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
4, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
5, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
6, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
7, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
8, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
9, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
10, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
11, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
12, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
13, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
14, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
15, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
16, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
17, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
18, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
19, 384.00, 192.00, 192.00, -192.00, -192.00, 0.50
