GPU Transformer Kernel Initialized.
InterferenceTask: Detected JSON RegionTags.
--- G2 Boundary Readout Experiment (Mode: R2Contrastive) ---
Epoch, AvgSleepE, AvgMatchE, AvgMismatchE, Gap_Match, Gap_Mismatch, ReadoutAcc
0, 96255848.00, 46254688.00, 50000000.00, -50001160.00, -46255848.00, 0.50
1, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
2, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
3, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
4, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
5, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
6, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
7, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
8, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
9, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
10, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
11, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
12, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
13, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
14, 100000000.00, 50000000.00, 50000000.00, -50000000.00, -50000000.00, 0.50
