Entering Training Mode...
Forcing CPU Mode (GPU Disabled).
ResonanceV2: 0 Drive Nodes (Ring 2), 0 Measure Nodes (Ring 4)
Frequency, Coherence
0.1, 0
0.15, 0
0.2, 0
0.25, 0
0.3, 0
0.35, 0
0.4, 0
0.45, 0
0.5, 0
0.55, 0
0.6, 0
0.65000004, 0
0.70000005, 0
0.75000006, 0
0.8, 0
0.85, 0
0.90000004, 0
0.95000005, 0
1, 0
1.05, 0
1.1, 0
1.1500001, 0
1.2, 0
1.25, 0
1.3000001, 0
1.35, 0
1.4000001, 0
1.45, 0
1.5, 0
1.5500001, 0
1.6, 0
1.6500001, 0
1.7, 0
1.75, 0
1.8000001, 0
1.85, 0
1.9000001, 0
1.95, 0
2, 0
2.05, 0
2.1, 0
2.1499999, 0
2.2, 0
2.25, 0
2.3, 0
2.35, 0
2.3999999, 0
2.45, 0
2.5, 0
2.55, 0
